Wavelength,A,B,C,D50,D55,D65,D75,ID50,ID65
530,79.13,92.2,98,102.1,104.21,107.69,110.44,102.63,108.25
535,82.52,94.46,99.94,101.5,103.16,106.05,108.36,101.9,106.54
540,85.95,96.9,102.1,100.8,102.1,104.41,106.28,101.16,104.83
545,89.41,99.16,103.95,101.6,102.53,104.23,105.59,101.87,104.57
550,92.91,101,105.2,102.3,102.97,104.05,104.9,102.56,104.29
555,96.44,102.2,105.67,101.2,101.48,102.02,102.45,101.29,102.16
560,100,102.8,105.3,100,100,100,100,100,100
565,103.58,102.92,104.11,98.9,98.61,98.17,97.81,98.73,98.03
570,107.18,102.6,102.3,97.7,97.22,96.33,95.62,97.41,96.01
575,110.8,101.9,100.15,98.3,97.48,96.06,94.92,97.75,95.5
580,114.44,101,97.8,98.9,97.75,95.79,94.22,98.07,94.97
585,118.08,100.07,95.43,96.2,94.59,92.24,90.61,95.12,91.19
590,121.73,99.2,93.2,93.5,91.43,88.69,87,92.18,87.44
595,125.39,98.44,91.22,95.6,92.93,89.35,87.12,93.98,87.84
600,129.04,98,89.7,97.7,94.42,90.01,87.24,95.8,88.27
605,132.7,98.08,88.83,98.5,94.78,89.8,86.69,96.35,87.86
610,136.35,98.5,88.4,99.3,95.14,89.6,86.15,96.85,87.41
615,139.99,99.06,88.19,99.2,94.68,88.65,84.87,96.37,86.16
620,143.62,99.7,88.1,99,94.22,87.7,83.59,95.88,84.9
625,147.24,100.36,88.06,97.4,92.33,85.49,81.18,93.97,82.5
630,150.84,101,88,95.7,90.45,83.29,78.76,92.09,80.13
635,154.42,101.56,87.86,97.3,91.39,83.49,78.6,93.28,80.05
640,157.98,102.2,87.8,98.8,92.33,83.7,78.44,94.45,79.97
645,161.52,103.05,87.99,97.3,90.59,81.86,76.63,92.64,77.97
650,165.03,103.9,88.2,95.7,88.85,80.03,74.82,90.82,75.97
655,168.51,104.59,88.2,97,89.59,80.12,74.58,91.74,75.83
660,171.96,105,87.9,98.2,90.32,80.21,74.34,92.65,75.69
665,175.38,105.08,87.22,100.6,92.13,81.25,74.89,94.65,76.44
670,178.77,104.9,86.3,103,93.95,82.28,75.44,96.58,77.15
675,182.12,104.55,85.3,101.1,91.95,80.28,73.52,94.35,74.94
680,185.43,103.9,84,99.1,89.96,78.28,71.6,92.14,72.77
685,188.7,102.84,82.21,93.3,84.82,74,67.73,86.42,68.58
690,191.93,101.6,80.2,87.4,79.68,69.72,63.87,80.74,64.42
695,195.12,100.38,78.24,89.5,81.26,70.67,64.48,82.37,65.04
700,198.26,99.1,76.3,91.6,82.84,71.61,65.1,83.94,65.62
705,201.36,97.7,74.36,92.3,83.84,72.98,66.59,84.18,66.6
710,204.41,96.2,72.4,92.9,84.84,74.35,68.09,84.42,67.57
715,207.41,94.6,70.4,84.9,77.54,67.98,62.27,76.8,61.51
720,210.36,92.9,68.3,76.8,70.24,61.6,56.46,69.24,55.5
725,213.27,91.1,66.3,81.7,74.77,65.74,60.36,73.31,59
730,216.12,89.4,64.4,86.6,79.3,69.89,64.26,77.32,62.46
735,218.92,88,62.8,89.6,82.15,72.49,66.71,79.68,64.5
740,221.67,86.9,61.5,92.6,84.99,75.09,69.17,81.97,66.48
745,224.36,85.9,60.2,85.4,78.44,69.34,63.91,75.3,61.13
750,227,85.2,59.2,78.2,71.88,63.59,58.64,68.69,55.83
755,229.59,84.8,58.5,68,62.34,55.01,50.64,59.42,48.09
760,232.12,84.7,58.1,57.7,52.79,46.42,42.63,50.23,40.41
765,234.59,84.9,58,70.3,64.36,56.61,52,60.97,49.09
770,237.01,85.4,58.2,82.9,75.93,66.81,61.37,71.62,57.7
775,239.37,86.1,58.5,80.6,73.87,65.09,59.85,69.34,56
780,241.68,87,59.1,78.3,71.82,63.38,58.34,67.06,54.3
785,243.92,0,78.91,72.38,63.84,58.73,0,0,0
790,246.12,0,79.55,72.94,64.3,59.14,0,0,0
795,248.25,0,76.48,70.14,61.88,56.94,0,0,0
800,250.33,0,73.4,67.35,59.45,54.73,0,0,0
805,252.35,0,68.66,63.04,55.71,51.32,0,0,0
810,254.31,0,63.92,58.73,51.96,47.92,0,0,0
815,256.22,0,67.35,61.86,54.7,50.42,0,0,0
820,258.07,0,70.78,64.99,57.44,52.92,0,0,0
825,259.86,0,72.61,66.65,58.88,54.23,0,0,0
830,261.6,0,74.44,68.31,60.31,55.54,0,0,0
